t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
27.5,68.83333333333333,43.96551679062429,"[22, 135, 80, 98, 26, 52]",0.1589049132091284,0.024922674137364584,"[0.11004836062224585, 0.16516185849358037, 0.19224867471267645, 0.17205517485402386, 0.15490746480625334, 0.1590079457659906]"
27.67,73.16666666666667,47.38107920538183,"[23, 142, 86, 108, 26, 54]",0.15502623262088058,0.023892855524378743,"[0.11176727378300524, 0.16476507260258666, 0.1839986248717624, 0.1764199271190963, 0.14343735602146554, 0.14976914132736732]"
27.83,75.83333333333333,48.18056316261431,"[24, 146, 89, 111, 29, 56]",0.1557221040496123,0.02369772155797991,"[0.11369893933247355, 0.1698709337519071, 0.17772936662582492, 0.18145813862710952, 0.1403421947445575, 0.15123305121580113]"
28.0,76.66666666666667,49.657493560052615,"[24, 151, 89, 111, 29, 56]",0.156088367578606,0.025804988132190735,"[0.10718541304733294, 0.16660141467135578, 0.18764208226677598, 0.17479306027087987, 0.1439320492545026, 0.15637618596078878]"
28.17,78.83333333333333,51.2539429377552,"[23, 155, 94, 113, 30, 58]",0.15662587979270368,0.023785187907666535,"[0.1120591865031925, 0.1637508539661606, 0.18708929719138526, 0.17547650029669531, 0.14934549099060795, 0.15203394980818044]"
28.33,83.16666666666667,55.52086694808238,"[23, 163, 103, 122, 29, 59]",0.15631271192336035,0.02553680076831416,"[0.11181869864530306, 0.16759672032791748, 0.19134212530619135, 0.17532831480470296, 0.14599838788929193, 0.14579202456675555]"
28.5,86.83333333333333,58.297226920897934,"[25, 171, 105, 130, 31, 59]",0.15417205464623898,0.023152831542700505,"[0.11409039075894696, 0.16273085546635568, 0.18302815724957958, 0.17668450227593802, 0.14449230974552188, 0.14400611238109187]"
28.67,92.5,63.81457513765958,"[26, 188, 110, 137, 33, 61]",0.1536024332283676,0.024195287867881696,"[0.11058454180358017, 0.15837640445624473, 0.18173780217802, 0.17994578779620088, 0.14218456107964567, 0.14878550205651403]"
28.83,97.66666666666667,67.34587341973275,"[28, 198, 115, 146, 34, 65]",0.1609602717809411,0.02176147597100693,"[0.12162476717683579, 0.1618074311748812, 0.18579401737577556, 0.18541069504941204, 0.15876847868819455, 0.15235624122054764]"
29.0,101.66666666666667,71.20861371117027,"[29, 208, 125, 150, 36, 62]",0.15988119752748145,0.020341035630638285,"[0.12309971278748828, 0.16069009967020656, 0.18552766267937865, 0.17789368808041592, 0.14838022786351848, 0.16369579408388085]"
29.17,107.83333333333333,74.13074036232652,"[32, 221, 133, 153, 39, 69]",0.1580976338508285,0.01963404397158142,"[0.12164861068491603, 0.16213060705959287, 0.17899631826567924, 0.1769326117959205, 0.1457816686664355, 0.16309598663242691]"
29.33,111.5,77.99423055585586,"[33, 233, 135, 158, 41, 69]",0.1601817009733952,0.021153859843824025,"[0.12099225708716166, 0.16153787980609044, 0.18485298771298145, 0.18229881875284284, 0.15786357965798964, 0.15354468282330516]"
29.5,114.83333333333333,79.96103217609604,"[35, 239, 137, 165, 43, 70]",0.1646239473070739,0.022176405199439815,"[0.12464427700911421, 0.16062964035706884, 0.18249647132516972, 0.18301376544029802, 0.18649478604039155, 0.150464743670401]"
